ridership,daytype,date,route,month_beginning,avg_weekday_rides,monthtotal,avg_sunday_holiday_rides,avg_saturday_rides,routename
6487,W,2001-01-02,50,2001-01-01,8322.7,213128.0,2470.1,4419.7,Damen
7909,W,2001-01-05,34,2001-01-01,7911.6,214933.0,3580.5,5744.2,South Michigan
14646,W,2001-01-04,72,2001-01-01,15417.4,418889.0,6853.7,11359.3,North
10954,W,2001-01-03,85,2001-01-01,13188.5,346996.0,4850.7,8148.9,Central
610,U,2001-01-01,11,2001-01-01,3448.7,86887.0,869.5,1667.3,Lincoln/Sedgwick
7954,W,2001-01-03,147,2001-01-01,8812.6,215649.0,0.0,5443.1,Outer Drive Express
389,W,2001-01-02,172,2001-01-01,890.2,20116.0,46.6,74.4,U. of Chicago/Kenwood
27956,W,2001-01-05,9,2001-01-01,29265.4,811006.0,15336.1,22621.7,Ashland
7747,W,2001-01-03,50,2001-01-01,8322.7,213128.0,2470.1,4419.7,Damen
3513,W,2001-01-03,59,2001-01-01,4260.5,102622.0,0.0,2222.6,59th/61st
8858,W,2001-01-04,146,2001-01-01,9355.1,242849.0,3117.4,5362.4,Inner Drive/Michigan Express
15147,W,2001-01-04,36,2001-01-01,15360.0,436950.0,8687.4,13898.6,Broadway
410,W,2001-01-03,69,2001-01-01,417.2,8761.0,0.0,0.0,Cumberland/East River
12450,W,2001-01-03,81,2001-01-01,14489.3,402803.0,7558.0,11561.8,Lawrence
9218,W,2001-01-02,70,2001-01-01,11102.5,301077.0,5264.0,7625.8,Division
4488,W,2001-01-02,111,2001-01-01,6074.4,157849.0,2062.4,3474.9,Pullman/111th/115th
9836,W,2001-01-02,85,2001-01-01,13188.5,346996.0,4850.7,8148.9,Central
